file_id,ContainerIdentifier,SeriesInstanceUID,series_aws_url
GTEX-YEC3-0426,GTEX-YEC3-0425,1.3.6.1.4.1.5962.99.1.2174487066.316482736.1720161438234.4.0,s3://idc-open-data/66265720-a0ce-4a1f-a988-28083b33028f/*
GTEX-S7SE-0726,GTEX-S7SE-0725,1.3.6.1.4.1.5962.99.1.2196671103.959752299.1720183622271.4.0,s3://idc-open-data/e21796d1-ff77-4077-9723-60c8b31df4ab/*
GTEX-ZQUD-1226,GTEX-ZQUD-1225,1.3.6.1.4.1.5962.99.1.2193505460.1841759337.1720180456628.4.0,s3://idc-open-data/8ef18045-9f3c-4738-be63-bcb96b7b0b7c/*
GTEX-OXRN-0126,GTEX-OXRN-0125,1.3.6.1.4.1.5962.99.1.2049292170.1902719851.1720036243338.4.0,s3://idc-open-data/93d75e3e-8ff7-4815-9ae1-7e8fb0aae0fa/*
GTEX-18D9B-0526,GTEX-18D9B-0525,1.3.6.1.4.1.5962.99.1.2054216648.1085023700.1720041167816.4.0,s3://idc-open-data/5fbd25fe-a372-453b-bccf-7aff994ed790/*
GTEX-15DYW-0426,GTEX-15DYW-0425,1.3.6.1.4.1.5962.99.1.1967151698.1816376236.1719954102866.4.0,s3://idc-open-data/88b8e6bf-0c54-4152-a467-f4c460b4cd07/*
GTEX-113JC-1526,GTEX-113JC-1525,1.3.6.1.4.1.5962.99.1.2486044706.157210627.1720472995874.4.0,s3://idc-open-data/ac92cc6c-0194-4984-b8f3-83e9a5aa0b0b/*
GTEX-15CHC-2426,GTEX-15CHC-2425,1.3.6.1.4.1.5962.99.1.2270653889.1079883565.1720257605057.4.0,s3://idc-open-data/4113a8ef-c51d-424a-8554-77b156762ad7/*
GTEX-YECK-0426,GTEX-YECK-0425,1.3.6.1.4.1.5962.99.1.2193097864.760829824.1720180049032.4.0,s3://idc-open-data/0a4ca593-4fff-4009-bcc3-c780e1f27ea3/*
GTEX-13VXU-2226,GTEX-13VXU-2225,1.3.6.1.4.1.5962.99.1.2252334736.1473626572.1720239285904.4.0,s3://idc-open-data/e20b4d4d-2fc8-4e6b-a048-1d007a5e33e2/*
GTEX-1HBPH-1226,GTEX-1HBPH-1225,1.3.6.1.4.1.5962.99.1.2441585863.367014577.1720428537031.4.0,s3://idc-open-data/623ac2c5-5a46-46a1-8d8d-e33d30080db9/*
GTEX-WXYG-1826,GTEX-WXYG-1825,1.3.6.1.4.1.5962.99.1.2356011755.1009924764.1720342962923.4.0,s3://idc-open-data/603904f6-789f-4527-8d7a-be6b42a66ae5/*
GTEX-QEG5-0426,GTEX-QEG5-0425,1.3.6.1.4.1.5962.99.1.2270708766.775027174.1720257659934.4.0,s3://idc-open-data/8d8d5384-552d-447f-9214-4587e8bad064/*
GTEX-144GM-2026,GTEX-144GM-2025,1.3.6.1.4.1.5962.99.1.2268661526.1725674620.1720255612694.4.0,s3://idc-open-data/74a0938a-4883-4dfd-a854-06e0ef1e6679/*
GTEX-TMMY-1026,GTEX-TMMY-1025,1.3.6.1.4.1.5962.99.1.2405806056.1888428250.1720392757224.4.0,s3://idc-open-data/7427f5f2-a34c-4d9c-95cd-4919b6356e8a/*
GTEX-QDVJ-1626,GTEX-QDVJ-1625,1.3.6.1.4.1.5962.99.1.2319191454.1696330341.1720306142622.4.0,s3://idc-open-data/945405d0-873b-4aab-b982-49b31bd066ca/*
GTEX-13PL6-1326,GTEX-13PL6-1325,1.3.6.1.4.1.5962.99.1.1979373261.1960134483.1719966324429.4.0,s3://idc-open-data/df9c004f-39e0-4574-89b9-9c0902deb50a/*
GTEX-11UD2-1826,GTEX-11UD2-1825,1.3.6.1.4.1.5962.99.1.2466618914.41248830.1720453570082.4.0,s3://idc-open-data/879686f2-d871-4bd1-a783-3f93e6532662/*
GTEX-1L5NE-1426,GTEX-1L5NE-1425,1.3.6.1.4.1.5962.99.1.2426432803.1547116996.1720413383971.4.0,s3://idc-open-data/306d542c-9f36-442d-a447-7c92960242e1/*
GTEX-1GMR8-0926,GTEX-1GMR8-0925,1.3.6.1.4.1.5962.99.1.2391692610.771598225.1720378643778.4.0,s3://idc-open-data/f6abe5d2-e14c-4f20-8fda-7de919068bc9/*
GTEX-1IDJF-1426,GTEX-1IDJF-1425,1.3.6.1.4.1.5962.99.1.2130842828.138780561.1720117793996.4.0,s3://idc-open-data/efd41a7c-854b-4086-8942-c5ecfb8b79af/*
GTEX-1O9I2-0326,GTEX-1O9I2-0325,1.3.6.1.4.1.5962.99.1.2194426887.436044005.1720181378055.4.0,s3://idc-open-data/4c0c0b93-1b5b-4f95-9d5d-40278151ff3f/*
GTEX-ZXES-1726,GTEX-ZXES-1725,1.3.6.1.4.1.5962.99.1.2114556753.1262461297.1720101507921.4.0,s3://idc-open-data/eb434619-f246-4de1-ab22-ed3911b17dad/*
GTEX-14DAQ-3126,GTEX-14DAQ-3125,1.3.6.1.4.1.5962.99.1.2062437893.1885158593.1720049389061.4.0,s3://idc-open-data/f648047d-9fa8-44e5-ab8b-d5adf3bbcf01/*
GTEX-ZZ64-1026,GTEX-ZZ64-1025,1.3.6.1.4.1.5962.99.1.2483108100.893019129.1720470059268.4.0,s3://idc-open-data/942ede76-5fca-483a-bd0f-c1d77cb33cf3/*
GTEX-11GSO-2026,GTEX-11GSO-2025,1.3.6.1.4.1.5962.99.1.2326448667.500175411.1720313399835.4.0,s3://idc-open-data/ff8dc9fe-8568-4305-9f38-4c21d327b51c/*
GTEX-1IOXB-1426,GTEX-1IOXB-1425,1.3.6.1.4.1.5962.99.1.2031612557.1415068005.1720018563725.4.0,s3://idc-open-data/2ba65ad9-cb66-49ab-a322-53368b4a50ca/*
GTEX-1497J-2526,GTEX-1497J-2525,1.3.6.1.4.1.5962.99.1.2442786570.14846764.1720429737738.4.0,s3://idc-open-data/5e69bfa2-37a8-450b-bfd7-a1da91599436/*
GTEX-12WSH-2726,GTEX-12WSH-2725,1.3.6.1.4.1.5962.99.1.2192974119.1413767384.1720179925287.4.0,s3://idc-open-data/c37a02b8-535e-4fc9-8132-389093fbc298/*
GTEX-WHSE-2626,GTEX-WHSE-2625,1.3.6.1.4.1.5962.99.1.2363343348.444869433.1720350294516.4.0,s3://idc-open-data/1c2949ca-d229-4e22-afbc-25e2d6013208/*
GTEX-18464-0226,GTEX-18464-0225,1.3.6.1.4.1.5962.99.1.2152781379.264011704.1720139732547.4.0,s3://idc-open-data/44ad6b4d-545e-447b-9425-5f02469ea806/*
GTEX-UJHI-1026,GTEX-UJHI-1025,1.3.6.1.4.1.5962.99.1.2141388326.1347449493.1720128339494.4.0,s3://idc-open-data/151b1b9b-4c60-4afd-a9a8-ca7e1bee7733/*
